city,temperature_c,humidity_percent,wind_speed_kmh,rainfall_mm,cloud_cover_percent,condition,play_cricket
Hyderabad,26.6,82,9.7,11.1,92,Rainy,No
Pune,36.7,50,6.9,2.7,78,Overcast,No
Mumbai,16.8,85,20.9,0.0,49,Cloudy,No
Mumbai,23.3,32,10.1,1.4,56,Cloudy,Yes
Ahmedabad,36.3,69,11.0,3.4,71,Cloudy,No
Kolkata,37.8,95,12.8,2.4,43,Cloudy,No
Lucknow,37.7,92,14.5,1.3,69,Cloudy,No
Delhi,38.4,63,7.7,0.7,25,Sunny,Yes
Delhi,34.0,79,15.7,0.7,73,Cloudy,Yes
Hyderabad,37.9,59,12.2,2.0,71,Cloudy,No
Hyderabad,32.5,93,29.4,3.7,54,Cloudy,No
Jaipur,29.7,89,3.9,0.0,46,Cloudy,Yes
Bengaluru,35.4,64,28.7,3.5,63,Cloudy,No
Hyderabad,35.4,78,5.1,5.0,66,Rainy,No
Pune,26.5,90,3.4,2.7,89,Overcast,No
Mumbai,37.5,83,4.7,4.4,75,Overcast,No
Hyderabad,34.6,79,14.9,0.0,74,Cloudy,Yes
Kolkata,28.4,98,30.3,2.2,40,Cloudy,No
Lucknow,28.7,37,20.0,1.6,23,Sunny,Yes
Ahmedabad,27.3,33,7.4,0.6,58,Cloudy,Yes
Jaipur,23.6,94,6.1,2.8,75,Overcast,No
Pune,26.5,35,27.7,0.0,38,Sunny,Yes
Chennai,34.6,32,8.2,2.7,53,Cloudy,Yes
Jaipur,23.5,98,6.9,1.1,68,Cloudy,No
Lucknow,37.0,73,12.0,0.1,65,Cloudy,Yes
Lucknow,32.1,93,11.0,3.0,83,Overcast,No
Pune,36.9,76,28.9,0.0,49,Cloudy,No
Mumbai,28.7,37,23.2,1.0,38,Sunny,No
Mumbai,36.8,78,11.5,0.3,25,Sunny,Yes
Hyderabad,31.7,68,6.1,2.9,100,Overcast,No
Pune,26.1,87,9.6,1.4,53,Cloudy,No
Jaipur,31.6,65,10.9,1.3,83,Overcast,Yes
Mumbai,30.2,35,13.5,2.5,27,Sunny,Yes
Lucknow,37.0,89,14.2,0.4,82,Overcast,No
Pune,29.4,31,14.0,2.3,93,Overcast,No
Bengaluru,30.5,89,8.9,2.3,41,Cloudy,No
Lucknow,31.1,65,22.0,2.2,45,Cloudy,No
Ahmedabad,22.8,85,20.6,1.4,38,Sunny,No
Ahmedabad,23.5,57,30.5,0.0,65,Cloudy,Yes
Pune,31.2,35,26.9,0.2,49,Cloudy,Yes
Kolkata,33.5,53,10.3,0.4,36,Sunny,Yes
Pune,35.2,89,8.9,0.0,66,Cloudy,No
Kolkata,28.8,54,11.9,6.0,96,Rainy,No
Pune,31.2,32,13.0,0.8,65,Cloudy,Yes
Kolkata,39.2,43,14.3,4.3,73,Cloudy,No
Kolkata,24.7,46,24.6,0.0,31,Sunny,Yes
Mumbai,35.2,41,10.8,0.0,32,Sunny,Yes
Kolkata,21.0,49,6.3,0.0,50,Cloudy,Yes
Chennai,35.8,60,21.3,0.7,41,Cloudy,No
Kolkata,28.0,59,22.3,0.0,30,Sunny,Yes
Lucknow,37.8,63,26.4,0.9,45,Cloudy,No
Bengaluru,28.1,30,21.8,2.1,60,Cloudy,No
Bengaluru,21.8,53,16.5,1.5,26,Sunny,Yes
Chennai,28.9,39,8.2,5.7,60,Rainy,No
Ahmedabad,26.9,50,11.8,0.0,49,Cloudy,Yes
Lucknow,22.5,45,25.3,0.2,56,Cloudy,Yes
Kolkata,22.2,63,14.5,2.6,7,Sunny,Yes
Pune,27.0,69,12.9,7.2,76,Rainy,No
Pune,39.4,53,22.5,0.0,48,Cloudy,No
Delhi,24.6,64,12.5,0.5,38,Sunny,Yes
Delhi,35.3,80,9.7,0.0,35,Sunny,Yes
Bengaluru,31.9,73,32.5,4.4,31,Sunny,No
Chennai,29.4,93,4.0,0.0,57,Cloudy,Yes
Hyderabad,31.2,38,13.0,5.6,76,Rainy,No
Jaipur,39.3,39,28.1,0.0,43,Cloudy,No
Hyderabad,24.1,97,5.9,5.5,82,Rainy,No
Ahmedabad,32.2,72,17.8,3.9,41,Cloudy,No
Delhi,20.3,49,17.7,4.0,82,Overcast,No
Lucknow,27.3,95,12.5,0.3,56,Cloudy,Yes
Jaipur,22.2,30,25.2,3.3,87,Overcast,No
Lucknow,39.5,42,13.1,4.2,80,Overcast,No
Pune,27.2,89,11.6,6.3,62,Rainy,No
Lucknow,43.1,73,8.3,0.0,45,Cloudy,Yes
Delhi,41.1,39,9.0,1.0,21,Sunny,No
Delhi,34.7,92,27.4,6.8,92,Rainy,No
Pune,39.2,83,21.3,0.3,24,Sunny,No
Mumbai,25.9,36,18.6,4.8,84,Overcast,No
Chennai,30.6,53,20.9,1.9,79,Overcast,No
Ahmedabad,24.1,74,31.6,2.1,87,Overcast,No
Ahmedabad,28.9,36,17.2,7.7,100,Rainy,No
Jaipur,33.5,90,19.6,9.9,100,Rainy,No
Mumbai,32.8,55,22.3,4.0,64,Cloudy,No
Pune,31.1,39,11.1,0.0,25,Sunny,Yes
Kolkata,33.6,38,21.7,0.0,30,Sunny,Yes
Kolkata,34.2,44,12.0,0.8,62,Cloudy,Yes
Delhi,28.4,54,5.4,0.0,54,Cloudy,Yes
Ahmedabad,38.9,85,28.4,5.5,92,Rainy,No
Jaipur,28.8,72,11.5,0.0,54,Cloudy,Yes
Delhi,19.4,80,14.1,0.4,63,Cloudy,Yes
Pune,25.8,34,16.7,0.1,67,Cloudy,Yes
Chennai,36.6,50,8.3,1.8,40,Cloudy,No
Bengaluru,29.5,67,5.3,1.1,35,Sunny,Yes
Delhi,38.2,71,11.8,2.7,61,Cloudy,No
Kolkata,35.3,86,18.2,0.3,53,Cloudy,No
Bengaluru,24.6,96,9.1,5.1,100,Rainy,No
Jaipur,21.2,89,18.6,0.7,45,Cloudy,Yes
Mumbai,40.4,68,12.4,0.0,49,Cloudy,Yes
Bengaluru,25.0,36,20.2,0.5,84,Overcast,Yes
Chennai,32.1,33,8.0,7.4,95,Rainy,No
Delhi,26.1,74,8.7,0.0,28,Sunny,Yes
Mumbai,22.3,97,4.2,4.2,60,Cloudy,No
Bengaluru,24.5,46,15.9,6.2,88,Rainy,No
Lucknow,30.3,85,12.7,3.2,73,Cloudy,No
Ahmedabad,30.6,55,7.5,0.0,56,Cloudy,Yes
Delhi,22.3,52,18.8,2.0,75,Overcast,Yes
Jaipur,32.5,59,21.5,1.4,44,Cloudy,No
Delhi,35.3,62,15.4,0.3,4,Sunny,Yes
Hyderabad,32.9,41,12.3,0.5,9,Sunny,Yes
Mumbai,30.0,94,5.0,2.5,55,Cloudy,No
Bengaluru,27.8,86,22.2,6.0,82,Rainy,No
Delhi,33.5,91,32.2,0.9,100,Overcast,No
Bengaluru,26.6,97,5.7,0.0,36,Sunny,Yes
Pune,36.2,87,11.8,0.0,38,Sunny,No
Ahmedabad,34.6,61,19.8,1.4,41,Cloudy,Yes
Bengaluru,42.4,76,23.0,5.2,100,Rainy,No
Ahmedabad,25.7,59,7.4,3.2,65,Cloudy,No
Lucknow,27.6,30,17.6,0.7,53,Cloudy,Yes
Mumbai,35.5,53,13.9,4.5,73,Cloudy,No
Mumbai,26.1,46,7.8,0.3,27,Sunny,Yes
Kolkata,26.4,71,21.6,0.0,48,Cloudy,Yes
